사업명,부품관리번호,재고번호,군급분류,품명,도면번호,도면부품번호,규격번호,계약업체,최종수정일
K-2 전차,M00042669,375187384,1040.0,"유탄발사기,연막,역대책용",61509601,61509601,,에스앤티중공업 주식회사,
K-2 전차,M00043356,375011242,2540.0,"멈치 결합체,포탑용",60720601,60720601,,(주)경도,2021-06-14
K-2 전차,M51321912,375011573,5310.0,"와셔,평면형",60720623,60720623,,태창정밀,
K-2 전차,M51321930,375018635,3040.0,"축,어깨형",60720633,60720633,,대성정밀주식회사,
K-2 전차,M00049403,375011836,2530.0,캠 조립체,60720610,60720610,,현대로템 주식회사,
K-2 전차,M00049402,375011823,2530.0,손잡이 조립체,60720602,60720602,,현대로템 주식회사,
K-2 전차,M00049404,375011864,2530.0,레버 조립체,60720621,60720621,,현대로템 주식회사,
K-2 전차,M00049405,375011865,2530.0,핀 조립체,60720624,60720624,,현대로템 주식회사,
K-2 전차,M00043357,375173731,5310.0,"와셔,시일용",60720630,60720630,,태창정밀,
K-2 전차,M00043011,375013686,5310.0,"와셔,평면형",60799301,60799301,,태창정밀,
K-2 전차,M00044084,375011832,5340.0,"블록,장치대용",60702845,60702845,,현대로템 주식회사,
K-2 전차,M00042681,375166755,1240.0,"조준경,포수용(KGPS-1)",61510001,61510001,,한화시스템(주),
K-2 전차,M00042683,375166482,1240.0,"전자유닛,포수용",61510851,61510851,,한화시스템(주),
K-2 전차,M00042686,375166772,5998.0,"전자유닛,전차장용",61511751,61511751,,한화시스템(주),
K-2 전차,M00042698,375166182,1240.0,"조준기,반사경식",61512701,61512701,,(주)이오시스템,
K-2 전차,M00044027,375235998,3010.0,"기어조립체,감속기용",61507701,61507701,,현대로템 주식회사,
K-2 전차,M51345523,375013679,5310.0,"와셔,평면형",60799301,60799311,,태창정밀,
K-2 전차,M51319854,375015272,9905.0,"판,안내용",60711106,60711106,,한화시스템(주),
K-2 전차,M00024590,375169273,5825.0,"항법세트,위성신호용",40018834,40018834,,한화디펜스주식회사,
K-2 전차,M51092638,371302032,5306.0,"나사,십자홈식",,,KS B 1023,아시아자동차공업(주),
K-2 전차,M00024591,375169274,5985.0,안테나,40018850,40018850,,한화디펜스주식회사,
K-2 전차,M00043507,375013458,9905.0,"판,안내용",60730174,60730174,,현대로템 주식회사,
K-2 전차,M00042496,375015719,5340.0,클램프 루푸 조립체,60715110,60715110,,현대로템 주식회사,
K-2 전차,M51321061,375031319,2590.0,손잡이,60715273,60715273,,현대모비스(주),2021-06-14
K-2 전차,M00042693,375166521,7021.0,컴퓨터 운용통제용,61512201,61512201,,엘아이지넥스원주식회사,
K-2 전차,M51371001,375167199,5998.0,회로카드 조립체,61512251,61512251,,엘아이지넥스원주식회사,
K-2 전차,M00004971,375167201,5998.0,회로카드 조립체,60385797,61512256,,한화디펜스주식회사,
K-2 전차,M51370998,375167210,5998.0,회로카드 조립체,61512246,61512246,,엘아이지넥스원주식회사,
K-2 전차,M51371014,375167202,5998.0,회로카드 조립체,61512271,61512271,,엘아이지넥스원주식회사,
K-2 전차,M51371026,375264348,5998.0,회로카드 조립체,61512285,61512285,,엘아이지넥스원주식회사,
K-2 전차,M00042694,375166758,1220.0,"컴퓨터,사격통제용",61512301,61512301,,한화시스템(주),
K-2 전차,M51371078,375197885,5998.0,회로카드 조립체,61512381,61512381,,한화시스템(주),
K-2 전차,M00004627,375141466,5998.0,회로카드 조립체,60828252,60828252,,한화디펜스주식회사,
K-2 전차,M00042695,375166716,1290.0,"손잡이 조립체,조종기용,무기용",61512501,61512501,,삼호정밀,
K-2 전차,M51321762,37A088247,6130.0,전원 공급기,60718406,60718406,,주식회사 더블유엠케이,2021-06-14
K-2 전차,M51345522,375013680,5310.0,"와셔,평면형",60799301,60799310,,태창정밀,
K-2 전차,M00042777,375166767,1265.0,"수신기-송신기,레이저식",61513410,61513410,,(주)이오시스템,
K-2 전차,M00042778,375166768,5860.0,"거울,레이저용",61513550,61513550,,(주)이오시스템,
K-2 전차,M00043011,375013686,5310.0,"와셔,평면형",60799301,60799301,,태창정밀,
K-2 전차,M00043344,37A084342,1290.0,방위각 지시기 결합체,60719601,60719601,,주식회사 경성엠티,
K-2 전차,M00043348,375013507,5330.0,개스킷,60719611,60719611,,한양산업,2021-06-14
K-2 전차,M00043350,375088987,5840.0,"표시기,3차원 표시용",60719615,60719615,,현대로템 주식회사,
K-2 전차,M00043011,375013686,5310.0,"와셔,평면형",60799301,60799301,,태창정밀,
K-2 전차,M00043351,375013862,1220.0,블록,60720403,60720403,,현대로템 주식회사,
K-2 전차,M00043355,375013843,5340.0,클램프,60720405,60720405,,용진H&C,
K-2 전차,M00043813,375077832,5340.0,"브래킷,설치용",60333501,60333501,,현대로템 주식회사,
K-2 전차,M00043815,375077833,5975.0,"걸이,케이블용",60333502,60333502,,현대로템 주식회사,
K-2 전차,M51345522,375013680,5310.0,"와셔,평면형",60799301,60799310,,태창정밀,
K-2 전차,M51345530,375013738,5310.0,"와셔,평면형",60799301,60799319,,태창정밀,
K-2 전차,M00004978,375166766,5895.0,,61513701,61513701,,한화시스템(주),
