연도,지역,구분,에볼라바이러스병,마버그열,라싸열,크리미안콩고출혈열,남아메리카출혈열,리프트밸리열,두창,페스트,탄저,보툴리눔독소증,야토병,중증급성호흡기증후군(SARS),중동호흡기증후군(MERS),동물인플루엔자 인체감염증,신종인플루엔자,디프테리아,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균목(CRE) 감염증,E형간염,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증,매독,매독(선천성),@엠폭스
2020,세종특별자치시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0,0.0,0.0,0.0,0.0,2.0,23.0,0,67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0,5.0,2,1.0,2.0,0.0,30.0,1,1.0,0.0,0.0,0.0,30.0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
2021,서울특별시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2832.0,0.0,0.0,3.0,7.0,4.0,25.0,1453.0,3,1166,0.0,0.0,0.0,1.0,1.0,53.0,0.0,72.0,1,6459.0,79,3.0,71.0,3.0,1553.0,40,67.0,5.0,0.0,0.0,119.0,7,0.0,0.0,8.0,15.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,
2021,부산광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0.0,0.0,10.0,5.0,2.0,7.0,96.0,0,506,0.0,0.0,0.0,0.0,0.0,13.0,0.0,38.0,0,2370.0,10,1.0,29.0,0.0,1401.0,3,16.0,4.0,0.0,0.0,421.0,13,0.0,0.0,11.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,
2021,대구광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,0.0,0.0,1.0,1.0,0.0,8.0,70.0,0,477,0.0,0.0,0.0,0.0,0.0,8.0,0.0,9.0,0,1733.0,6,2.0,11.0,1.0,370.0,1,24.0,3.0,0.0,0.0,142.0,4,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,
2021,인천광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.0,0.0,0.0,1.0,1.0,0.0,9.0,577.0,2,471,0.0,0.0,0.0,0.0,0.0,24.0,1.0,35.0,0,1897.0,14,0.0,28.0,2.0,739.0,46,24.0,4.0,0.0,1.0,58.0,2,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
2021,광주광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,0.0,0.0,3.0,3.0,2.0,36.0,147.0,0,271,0.0,0.0,0.0,0.0,0.0,7.0,0.0,90.0,0,343.0,14,0.0,15.0,1.0,286.0,0,15.0,2.0,0.0,0.0,156.0,3,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2021,대전광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,0.0,0.0,2.0,0.0,0.0,7.0,196.0,1,288,0.0,0.0,0.0,0.0,0.0,11.0,0.0,12.0,0,354.0,2,3.0,8.0,1.0,188.0,3,6.0,0.0,0.0,0.0,160.0,5,0.0,0.0,4.0,4.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2021,울산광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,0.0,0.0,7.0,2.0,0.0,6.0,24.0,0,326,0.0,0.0,0.0,0.0,0.0,5.0,0.0,35.0,0,283.0,4,0.0,7.0,0.0,229.0,3,3.0,1.0,0.0,5.0,248.0,2,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,
2021,경기도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5713.0,0.0,0.0,10.0,5.0,4.0,18.0,2493.0,4,2718,0.0,0.0,0.0,0.0,0.0,64.0,0.0,175.0,1,4597.0,153,3.0,143.0,8.0,1881.0,175,86.0,8.0,0.0,1.0,341.0,12,3.0,0.0,29.0,20.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,37.0,0.0,0.0,0.0,0.0,
2021,강원특별자치도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,0.0,0.0,2.0,0.0,0.0,4.0,158.0,0,376,0.0,0.0,0.0,0.0,0.0,6.0,0.0,18.0,0,500.0,42,0.0,15.0,1.0,218.0,8,7.0,0.0,0.0,0.0,29.0,6,0.0,0.0,32.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,
